,utc_date,utc_time,white,black,event,time_control,white_score,Username_x,Mode_x,UltraBullet_x,Bullet_x,Blitz_x,Rapid_x,Classical_x,Correspondence_x,Crazyhouse_x,Chess960_x,Antichess_x,Horde_x,Puzzles_x,Puzzle Storm_x,Puzzle Racer_x,Puzzle Streak_x,games_x,rated_x,wins_x,losses_x,draws_x,bookmarks_x,win_streak_x,lose_streak_x,King of the Hill_x,Three-check_x,Atomic_x,Racing Kings_x,imported games_x,playing_x,imported game_x,Username_y,Mode_y,UltraBullet_y,Bullet_y,Blitz_y,Rapid_y,Classical_y,Correspondence_y,Crazyhouse_y,Chess960_y,Antichess_y,Horde_y,Puzzles_y,Puzzle Storm_y,Puzzle Racer_y,Puzzle Streak_y,games_y,rated_y,wins_y,losses_y,draws_y,bookmarks_y,win_streak_y,lose_streak_y,King of the Hill_y,Three-check_y,Atomic_y,Racing Kings_y,imported games_y,playing_y,imported game_y
905,1,79,DrKarpov,AllThoseYearsAgo,Blitz,180+2,0,DrKarpov,Blitz,0,0,2202,0,0,0,0,0,0,0,0,40,0,0,2000,1966,874,1003,123,31,14,2,0.0,0.0,0.0,0.0,0.0,,,AllThoseYearsAgo,Blitz,0,0,2341,0,0,0,0,0,0,0,2056,46,58,71,1250,1234,641,553,56,0,8,1,0.0,0.0,0.0,0.0,0.0,,
906,1,79,fjairo213,gkhany,Blitz,180+2,1,fjairo213,Blitz,1758,1977,1938,2217,1585,0,0,0,0,0,2264,22,0,0,6659,6554,3350,2938,371,17,1,9,0.0,0.0,0.0,0.0,9.0,,,gkhany,Blitz,0,1960,1891,1912,1800,1652,0,0,0,0,1480,0,0,0,42355,42301,20339,20112,1904,99,11,6,0.0,0.0,0.0,0.0,0.0,1.0,
907,1,79,PaulPlant,ianina,Blitz,180+2,1,PaulPlant,Blitz,0,2064,2389,0,0,0,0,0,0,0,2335,0,0,0,698,698,353,322,23,0,1,7,0.0,0.0,0.0,0.0,0.0,,,ianina,Blitz,0,2313,2574,2408,0,0,0,0,0,0,2434,25,0,0,27554,27358,14826,10492,2236,2,2,10,0.0,0.0,0.0,0.0,6.0,,
908,1,79,Ash_Soul,LimitTester,Blitz,180+2,1,Ash_Soul,Blitz,0,1921,1903,1975,0,0,0,0,0,0,2466,0,0,0,3023,2965,1548,1356,119,12,3,8,0.0,0.0,0.0,0.0,0.0,,,LimitTester,Blitz,0,2378,2032,0,0,0,0,0,0,0,2534,0,0,0,568,568,324,222,22,0,2,4,0.0,0.0,0.0,0.0,0.0,,
909,1,79,zizo070,FBM_1978,Blitz,180+2,0,zizo070,Blitz,0,1172,1662,1894,0,0,0,0,0,0,1598,22,0,21,7847,7821,3845,3659,343,0,3,10,0.0,0.0,0.0,0.0,0.0,,,FBM_1978,Blitz,0,1589,1723,1825,0,0,0,1359,0,0,2004,0,0,0,9532,9468,4503,4649,380,2,2,11,0.0,0.0,0.0,0.0,0.0,,
910,1,79,Marc_SVH,RomarioDeSouza,Blitz,180+2,1,Marc_SVH,Blitz,0,0,1836,1926,0,0,0,0,0,0,2219,26,0,0,4388,4382,2163,2163,62,0,2,10,0.0,0.0,0.0,0.0,0.0,,,RomarioDeSouza,Blitz,0,1167,1753,1906,1528,0,0,0,0,0,1680,0,0,0,3136,3113,1512,1518,106,0,1,9,0.0,0.0,1328.0,0.0,0.0,,1.0
911,1,79,Cab98mx,felipector,Blitz,180+2,1,Cab98mx,Blitz,0,924,1393,0,0,0,0,0,0,0,1317,0,0,0,1166,1166,562,553,51,0,2,7,0.0,0.0,0.0,0.0,0.0,,,felipector,Blitz,0,1406,1390,1170,0,0,0,0,0,0,1651,0,0,0,1190,1176,660,487,43,0,2,8,0.0,0.0,0.0,0.0,0.0,,
912,1,79,ryukodan,WalterModeI,Blitz,180+2,1,ryukodan,Blitz,0,0,1402,0,0,0,0,0,0,0,1553,0,0,0,6281,6273,2987,3064,230,0,2,11,0.0,0.0,0.0,0.0,3.0,,,WalterModeI,Blitz,0,0,1455,0,0,0,0,0,0,0,0,0,0,0,7,7,3,3,1,0,1,2,0.0,0.0,0.0,0.0,0.0,,
913,1,79,okinjo,pepypro,Blitz,180+2,0,okinjo,Blitz,0,1221,1409,1519,0,0,0,0,0,0,1525,0,0,0,782,713,396,353,33,0,2,7,0.0,0.0,0.0,0.0,0.0,,,pepypro,Blitz,0,1251,1289,0,0,0,0,0,0,0,1339,0,0,0,2715,2656,1298,1296,121,0,11,1,0.0,0.0,0.0,0.0,0.0,,
914,1,79,Vchess2177,tahaalatas34,Blitz,180+2,1,Vchess2177,Blitz,1242,1058,1102,1416,0,0,0,0,1121,0,1713,0,21,22,1099,1039,527,525,47,39,12,5,0.0,1189.0,1199.0,0.0,0.0,,,tahaalatas34,Blitz,0,1329,1202,0,0,0,0,0,0,0,1517,0,0,0,891,878,468,413,10,0,8,2,0.0,0.0,0.0,0.0,0.0,,
