,utc_date,utc_time,white_score,UltraBullet_x,Bullet_x,Blitz_x,Rapid_x,Classical_x,Correspondence_x,Crazyhouse_x,Chess960_x,Antichess_x,Horde_x,Puzzles_x,Puzzle Storm_x,Puzzle Racer_x,Puzzle Streak_x,games_x,rated_x,wins_x,losses_x,draws_x,bookmarks_x,win_streak_x,lose_streak_x,King of the Hill_x,Three-check_x,Atomic_x,Racing Kings_x,imported games_x,UltraBullet_y,Bullet_y,Blitz_y,Rapid_y,Classical_y,Correspondence_y,Crazyhouse_y,Chess960_y,Antichess_y,Horde_y,Puzzles_y,Puzzle Storm_y,Puzzle Racer_y,Puzzle Streak_y,games_y,rated_y,wins_y,losses_y,draws_y,bookmarks_y,win_streak_y,lose_streak_y,King of the Hill_y,Three-check_y,Atomic_y,Racing Kings_y,imported games_y,fix_time,add_time,prop_x,prop_y,win2loss_x,win2loss_y,ind_greater_mean_x,ind_greater_mean_y
1663,1,145,2,0,0,1240,1428,0,1589,0,0,0,0,1475,0,0,0,4027,4022,1889,1919,219,3,8,1,0.0,0.0,0.0,0.0,0.0,0,0,1054,0,0,0,0,0,0,0,0,0,0,0,20,17,9,10,1,0,1,2,0.0,0.0,0.0,0.0,0.0,300,3,0.46908368512540355,0.45,4005,0.9,0,0
1664,1,145,2,0,0,1307,1514,0,0,0,0,0,0,1365,0,0,0,2191,2182,1048,1042,101,0,10,3,0.0,0.0,0.0,0.0,0.0,0,1329,1220,1442,0,0,0,0,0,0,1246,0,0,0,1358,1302,692,624,42,9,10,2,0.0,0.0,0.0,0.0,0.0,300,3,0.47832040164308537,0.5095729013254786,880,1.108974358974359,0,0
1665,1,145,2,0,0,1736,1983,1961,0,0,0,0,0,2229,0,0,0,13131,13113,5987,6107,1037,39,9,2,0.0,0.0,0.0,0.0,2.0,0,1457,1769,1907,1944,2050,0,1535,0,0,2239,0,0,0,2259,2255,1121,1059,79,12,6,5,0.0,0.0,0.0,0.0,0.0,300,3,0.4559439494326403,0.4962372731297034,10858,1.0585457979225685,1,1
1666,1,145,2,0,1276,1746,0,0,0,1516,0,0,0,0,0,0,0,10134,10011,4541,4884,709,32,13,0,0.0,0.0,1457.0,0.0,0.0,0,1432,1707,2039,0,0,0,0,0,0,1779,0,0,0,9112,9111,4476,4550,86,0,13,1,0.0,0.0,0.0,0.0,0.0,300,0,0.4480955200315769,0.49122036874451275,900,0.9837362637362638,1,1
1667,1,146,2,0,0,1453,1633,0,0,0,0,0,0,1379,0,0,0,8187,8187,4009,4026,152,0,2,13,0.0,0.0,0.0,0.0,0.0,0,1280,1582,1669,1559,0,0,0,0,0,0,0,0,0,7994,7856,3957,3659,378,66,9,4,0.0,0.0,0.0,0.0,0.0,180,0,0.4896787590081837,0.49499624718538904,331,1.081443017217819,0,0
1668,1,146,2,1209,1437,1586,1882,0,0,1498,0,0,0,1911,0,27,0,5558,5398,2629,2687,242,2,10,1,1627.0,1506.0,1151.0,1563.0,0.0,0,1502,1675,0,0,0,0,0,0,0,1074,0,0,0,16106,16093,7457,7482,1167,5,4,12,0.0,0.0,0.0,0.0,0.0,180,0,0.473011874775099,0.4629951570843164,10695,0.9966586474204758,1,1
1669,1,146,0,0,1697,1878,1754,0,0,0,1884,0,0,1963,0,0,0,8652,8585,4026,4169,457,0,13,1,0.0,0.0,0.0,0.0,0.0,0,1647,1825,1907,0,0,0,0,0,0,1766,31,34,37,1344,1334,620,652,72,1,8,1,0.0,0.0,0.0,0.0,8.0,180,0,0.4653259361997226,0.46130952380952384,7251,0.950920245398773,1,1
1670,1,146,2,0,1651,1883,0,0,0,0,0,0,0,2234,0,0,0,421,417,213,190,18,3,3,6,0.0,0.0,0.0,0.0,0.0,1251,1854,1979,0,0,0,0,0,0,0,0,0,0,0,2331,2331,1120,1072,139,0,9,1,0.0,0.0,0.0,0.0,0.0,180,0,0.505938242280285,0.4804804804804805,1914,1.044776119402985,1,1
1671,1,146,0,0,1272,1485,1767,0,0,0,0,0,0,1852,0,0,0,9605,9403,4717,4610,278,0,20,1,0.0,0.0,0.0,0.0,0.0,0,1332,1396,1540,0,0,0,0,0,0,1479,0,0,0,22028,21843,10783,10965,280,107,2,15,0.0,0.0,0.0,0.0,0.0,180,0,0.49109838625715774,0.4895133466497185,12440,0.9834017327861377,0,0
1672,1,146,0,0,1023,1359,1051,0,0,0,0,0,0,1221,0,0,0,6481,6479,3144,3076,261,0,1,13,0.0,0.0,0.0,0.0,0.0,0,1240,1239,1130,0,0,0,0,0,0,1680,0,0,0,4845,4816,2342,2334,169,1,1,8,0.0,0.0,0.0,0.0,0.0,180,0,0.4851103224810986,0.48338493292053664,1663,1.003427592116538,0,0
